Emotion,Accuracy,Precision,Recall,F1
Joy,0.8039568345323741,0.7264705882352941,0.6639784946236559,0.6938202247191011
Sadness,0.8830935251798561,0.8264150943396227,0.7227722772277227,0.7711267605633803
Anticipation,0.9406474820143885,0.7843137254901961,0.8791208791208791,0.8290155440414507
Trust,0.9001798561151079,0.6722689075630253,0.5263157894736842,0.5904059040590406
Neutral,0.908273381294964,0.4375,0.5568181818181818,0.49
Surprise,0.9433453237410072,0.30434782608695654,0.12962962962962962,0.18181818181818182
Disgust,0.939748201438849,0.37681159420289856,0.52,0.4369747899159664
Anger,0.9748201438848921,0.48148148148148145,0.48148148148148145,0.48148148148148145
Fear,0.9712230215827338,0.34615384615384615,0.375,0.36
Reject,0.9937050359712231,0.8947368421052632,0.7727272727272727,0.8292682926829268
Weighted Average,0.9258992805755396,0.5850499905658584,0.5627844006102507,0.5663911179281529
Non-weighted Average,0.9258992805755396,0.8208992078308288,0.8054234584660283,0.8128887922859918
