Emotion,Accuracy,Precision,Recall,F1
Joy,0.7913669064748201,0.7011494252873564,0.6559139784946236,0.6777777777777778
Sadness,0.8435251798561151,0.7311827956989247,0.6732673267326733,0.7010309278350515
Anticipation,0.9172661870503597,0.7205882352941176,0.8076923076923077,0.7616580310880829
Trust,0.8893884892086331,0.6306306306306306,0.4605263157894737,0.532319391634981
Neutral,0.9001798561151079,0.3925233644859813,0.4772727272727273,0.4307692307692308
Surprise,0.9388489208633094,0.325,0.24074074074074073,0.2765957446808511
Disgust,0.9433453237410072,0.38596491228070173,0.44,0.411214953271028
Anger,0.9442446043165468,0.26666666666666666,0.7407407407407407,0.39215686274509803
Fear,0.9658273381294964,0.23076923076923078,0.25,0.24
Reject,0.9865107913669064,0.6206896551724138,0.8181818181818182,0.7058823529411765
Weighted Average,0.9120503597122303,0.5005164916286023,0.5564335955645106,0.5129405272743278
Non-weighted Average,0.9120503597122303,0.7832070583230051,0.7835940357486453,0.7834003525229289
