app_name,categoryId,reviewId,sentenceId,at,score,feature,review,sentence,QM-emotion-A,QM-emotion-B,comments,MO-emotion-A,MO-emotion-B,MO-comments,JM-emotion-A,JM-emotion-B,comments.1,emotion-A-agreement,emotion-B-agreement
Burner: 2nd Phone Number Line,COMMUNICATION,d229a708-8b82-4e1a-b22f-a4fce58f4225,0,"Jun 14, 2022",4,f_482,soon as burner steps up to the pump and adds end to end encryption...they will hands down be the best in google play store...hands down only reason they don't get a 5...you've implemented the perfect features as far as multiline and burning feature...just encrypt the lines and your a clear winner,soon as burner steps up to the pump and adds end to end encryption...they will hands down be the best in google play store...hands down only reason they don't get a 5...you've implemented the perfect features as far as multiline and burning feature...just encrypt the lines and your a clear winner,Joy,Anticipation,,Sadness,Trust,,Anticipation,Joy,,Anticipation,Joy
Telegram,COMMUNICATION,a8309c16-01a8-428f-881f-c7dbf1adf3ad,0,"Sep 02, 2022",1,f_180,Highly disappointed the way their support team works because instead of stopping and taking strong action against those who are constantly making new accounts nd deleting the old ones for their fraudulent activity they are just ready to restrict the activity of genuine users!,Highly disappointed the way their support team works because instead of stopping and taking strong action against those who are constantly making new accounts nd deleting the old ones for their fraudulent activity they are just ready to restrict the activity of genuine users!,Disgust,,,Anger,,,Sadness,,,,
Productive - Habit tracker,PRODUCTIVITY,33c7f1e0-4d95-4f3c-8d33-6ecdd39a2834,0,"Jan 27, 2022",1,f_330,"This app took payment today, no subscription page to manage the account, no warning it was going to take money, no support page or email publicly on the site. When I log in, it just takes me to an unsubscribe page. This subscription is NOT managed in Google. Best of luck to those that are subscribed. Will dispute with PayPal.","This app took payment today, no subscription page to manage the account, no warning it was going to take money, no support page or email publicly on the site.",Fear,Sadness,,Sadness,,,Fear,,,Fear,Sadness
"Strava: Run, Ride, Hike",HEALTH_AND_FITNESS,6d7dcd41-b3e7-4360-bab1-81b85404cd56,0,"Aug 30, 2022",4,f_424,Everything is good except that the comment section reply doesn't really work,Everything is good except that the comment section reply doesn't really work,Joy,Sadness,,Joy,Sadness,,Joy,Sadness,,Joy,Sadness
SMS Backup+,TOOLS,675e45f6-d4c5-474e-96d5-6e4d3873fac4,1,"Apr 28, 2018",5,f_277,It must be default in all android. Gmail integration is awsome...,Gmail integration is awsome...,Joy,,,Joy,,,Joy,,,Joy,
Loop Habit Tracker,PRODUCTIVITY,5724d054-901f-484a-8f13-572a0e19c55b,1,"Sep 16, 2021",5,f_104,"Simple intuitive app, also lets you export your data. Feature feature - provide a web interface or a mac/desktop app.",Feature feature - provide a web interface or a mac/desktop app.,Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
Samsung Notes,PRODUCTIVITY,6fe114b3-878b-4799-9d3d-f08dffeca479,4,"Aug 06, 2022",5,f_432,Its a great app😍. Just some suggestions ;* a option to add bookmarks to pdfs . a feature to straighten highlight strokes. Sticky notes. Diary template. Ability to place imported pictures at any place in the pdf not only on left margine. also an option to see the index of the book,Ability to place imported pictures at any place in the pdf not only on left margine.,Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
Messages,COMMUNICATION,423afdba-5a76-4c63-b722-3b9897c93abb,1,"Sep 14, 2022",1,f_118,This messaging app will not send texts to my wife's Google Pixel phone. Always says she is offline. Still won't send texts with retry with SMS/MMS enabled in the settings. I have to manually resend all texts after they fail. I had high hopes but it's a pretty pathetic messaging app that uses RCS.,Always says she is offline.,Sadness,,it's a disappointment because it's doing something unexpected,Sadness,,,Surprise,,,Sadness,
Instagram,SOCIAL,ccabb8a9-0d31-4c55-a5f2-cc30103ab06c,0,"Sep 14, 2022",1,f_85,Last updat is bad I can't share video because it's showing like it's picture it's not playing I'm disappoint about this,Last updat is bad I can't share video because it's showing like it's picture it's not playing I'm disappoint about this,Sadness,,,Sadness,,Sadness expresses disappointment,Sadness,,,Sadness,
Productive - Habit tracker,PRODUCTIVITY,cd9af090-f59c-4e1a-a28e-e6b443e84a81,1,"Aug 20, 2021",2,f_197,App not bad but customer support very lacking. Only get nonsensical canned responses.,Only get nonsensical canned responses.,Sadness,,,Disgust,,not suite for purpose,Sadness,,,Sadness,
blocos - time block & daily pl,PRODUCTIVITY,9b0b8dd2-da1a-47ef-a280-7b09a5297a18,2,"Feb 12, 2022",4,f_244,"Great concept, a bit rough on execution. The To-Do section needs to be reworked. Can't clear empty categories of to-do, no indication if it purges old tasks or if the done tasks are just going to pile up, needs sort by date, needs reoccurring tasks. Need to be able to rederence Todo list from schedule page. Scheduling needs copy and paste for selected blocks. Need to be able to edit templates directly.","Can't clear empty categories of to-do, no indication if it purges old tasks or if the done tasks are just going to pile up, needs sort by date, needs reoccurring tasks.",Sadness,Anticipation,,Sadness,,,Sadness,Anticipation,,Sadness,Anticipation
Weather data & microclimate :,WEATHER,43ab5385-3258-46cb-a191-20e39b3d13d8,0,"Jul 08, 2022",5,f_414,"Clean design, clear and relevant temperature and precipitation charts, minimal ads.","Clean design, clear and relevant temperature and precipitation charts, minimal ads.",Joy,,,Joy,,,Joy,,,Joy,
