Emotion,Accuracy,Precision,Recall,F1
Joy,0.8039568345323741,0.7225433526011561,0.6720430107526881,0.6963788300835655
Trust,0.908273381294964,0.7358490566037735,0.5131578947368421,0.6046511627906976
Fear,0.9730215827338129,0.375,0.375,0.375
Surprise,0.9442446043165468,0.35714285714285715,0.18518518518518517,0.24390243902439024
Sadness,0.8794964028776978,0.8141263940520446,0.7227722772277227,0.7657342657342657
Disgust,0.947841726618705,0.40476190476190477,0.34,0.3695652173913043
Anger,0.9658273381294964,0.37777777777777777,0.6296296296296297,0.4722222222222222
Anticipation,0.9442446043165468,0.7912621359223301,0.8956043956043956,0.8402061855670103
Neutral,0.9154676258992805,0.4722222222222222,0.5795454545454546,0.5204081632653061
Reject,0.9946043165467626,0.9444444444444444,0.7727272727272727,0.85
Weighted Average,0.9276978417266187,0.5995130145528511,0.5685665120409191,0.5738068486078761
Non-weighted Average,0.9276978417266187,0.8262631889199552,0.807805829874255,0.8166532424671291
