                                   Emotion  Accuracy  Precision    Recall        F1
0                                      Joy  0.811151   0.738235  0.674731  0.705056
1                                  Sadness  0.889388   0.810345  0.775578  0.792580
2                             Anticipation  0.936151   0.748879  0.917582  0.824691
3                                    Trust  0.900180   0.672269  0.526316  0.590406
4                                  Neutral  0.882194   0.357616  0.613636  0.451883
5                                 Surprise  0.930755   0.274510  0.259259  0.266667
6                                  Disgust  0.944245   0.342105  0.260000  0.295455
7                                    Anger  0.958633   0.320755  0.629630  0.425000
8                                     Fear  0.975719   0.448276  0.541667  0.490566
9                                   Reject  0.996403   1.000000  0.818182  0.900000
Weighted Average          Weighted Average  0.922482   0.571299  0.601658  0.574230
Non-weighted Average  Non-weighted Average  0.922482   0.807503  0.815453  0.811404
