                                   Emotion  Accuracy  Precision    Recall        F1
0                                      Joy  0.803957   0.726471  0.663978  0.693820
1                                  Sadness  0.883094   0.826415  0.722772  0.771127
2                             Anticipation  0.940647   0.784314  0.879121  0.829016
3                                    Trust  0.900180   0.672269  0.526316  0.590406
4                                  Neutral  0.908273   0.437500  0.556818  0.490000
5                                 Surprise  0.943345   0.304348  0.129630  0.181818
6                                  Disgust  0.939748   0.376812  0.520000  0.436975
7                                    Anger  0.974820   0.481481  0.481481  0.481481
8                                     Fear  0.971223   0.346154  0.375000  0.360000
9                                   Reject  0.993705   0.894737  0.772727  0.829268
Weighted Average          Weighted Average  0.925899   0.585050  0.562784  0.566391
Non-weighted Average  Non-weighted Average  0.925899   0.820899  0.805423  0.812889
