                                   Emotion  Accuracy  Precision    Recall        F1
0                                      Joy  0.812950   0.736994  0.685484  0.710306
1                                  Sadness  0.887590   0.824818  0.745875  0.783362
2                             Anticipation  0.944245   0.785714  0.906593  0.841837
3                                    Trust  0.904676   0.709091  0.513158  0.595420
4                                  Neutral  0.917266   0.481481  0.590909  0.530612
5                                 Surprise  0.946942   0.413793  0.222222  0.289157
6                                  Disgust  0.948741   0.428571  0.420000  0.424242
7                                    Anger  0.963129   0.354167  0.629630  0.453333
8                                     Fear  0.973921   0.380952  0.333333  0.355556
9                                   Reject  0.994604   0.944444  0.772727  0.850000
Weighted Average          Weighted Average  0.929406   0.606003  0.581993  0.583383
Non-weighted Average  Non-weighted Average  0.929406   0.829435  0.815604  0.822309
