                                   Emotion  Accuracy  Precision    Recall        F1
0                                      Joy  0.807554   0.729651  0.674731  0.701117
1                                  Sadness  0.888489   0.809689  0.772277  0.790541
2                             Anticipation  0.938849   0.756757  0.923077  0.831683
3                                    Trust  0.897482   0.658333  0.519737  0.580882
4                                  Neutral  0.879496   0.350649  0.613636  0.446281
5                                 Surprise  0.929856   0.269231  0.259259  0.264151
6                                  Disgust  0.942446   0.305556  0.220000  0.255814
7                                    Anger  0.958633   0.327273  0.666667  0.439024
8                                     Fear  0.974820   0.433333  0.541667  0.481481
9                                   Reject  0.995504   1.000000  0.772727  0.871795
Weighted Average          Weighted Average  0.921313   0.564047  0.596378  0.566277
Non-weighted Average  Non-weighted Average  0.921313   0.804454  0.813767  0.809008
