                                   Emotion  Accuracy  Precision    Recall        F1
0                                      Joy  0.806655   0.732938  0.663978  0.696756
1                                  Sadness  0.881295   0.820225  0.722772  0.768421
2                             Anticipation  0.940647   0.787129  0.873626  0.828125
3                                    Trust  0.902878   0.680328  0.546053  0.605839
4                                  Neutral  0.909173   0.441441  0.556818  0.492462
5                                 Surprise  0.944245   0.333333  0.148148  0.205128
6                                  Disgust  0.937050   0.357143  0.500000  0.416667
7                                    Anger  0.976619   0.520000  0.481481  0.500000
8                                     Fear  0.972122   0.333333  0.291667  0.311111
9                                   Reject  0.993705   0.894737  0.772727  0.829268
Weighted Average          Weighted Average  0.926439   0.590061  0.555727  0.565378
Non-weighted Average  Non-weighted Average  0.926439   0.822633  0.805728  0.813857
