                                   Emotion  Accuracy  Precision    Recall        F1
0                                      Joy  0.793165   0.708824  0.647849  0.676966
1                                  Sadness  0.871403   0.800752  0.702970  0.748682
2                             Anticipation  0.937950   0.786802  0.851648  0.817942
3                                    Trust  0.901079   0.690909  0.500000  0.580153
4                                  Neutral  0.898381   0.400000  0.568182  0.469484
5                                 Surprise  0.938849   0.230769  0.111111  0.150000
6                                  Disgust  0.937950   0.358209  0.480000  0.410256
7                                    Anger  0.974820   0.478261  0.407407  0.440000
8                                     Fear  0.970324   0.304348  0.291667  0.297872
9                                   Reject  0.991906   0.809524  0.772727  0.790698
Weighted Average          Weighted Average  0.921583   0.556840  0.533356  0.538205
Non-weighted Average  Non-weighted Average  0.921583   0.810004  0.793760  0.801569
