Emotion,Accuracy,Precision,Recall,F1
Joy,0.7922661870503597,0.7020057306590258,0.6586021505376344,0.6796116504854369
Sadness,0.8408273381294964,0.721830985915493,0.6765676567656765,0.6984667802385008
Anticipation,0.9217625899280576,0.7294685990338164,0.8296703296703297,0.7763496143958869
Trust,0.8884892086330936,0.6186440677966102,0.48026315789473684,0.5407407407407407
Neutral,0.9001798561151079,0.3944954128440367,0.48863636363636365,0.4365482233502538
Surprise,0.9388489208633094,0.3157894736842105,0.2222222222222222,0.2608695652173913
Disgust,0.9460431654676259,0.4107142857142857,0.46,0.4339622641509434
Anger,0.9442446043165468,0.26666666666666666,0.7407407407407407,0.39215686274509803
Fear,0.9685251798561151,0.28,0.2916666666666667,0.2857142857142857
Reject,0.9856115107913669,0.6071428571428571,0.7727272727272727,0.68
Weighted Average,0.9126798561151078,0.5046758079457001,0.5621096560861643,0.5184419987038538
Non-weighted Average,0.9126798561151079,0.7844556322249429,0.7873663364000267,0.7859000699771858
