                                   Emotion  Accuracy  Precision    Recall        F1
0                                      Joy  0.792266   0.702006  0.658602  0.679612
1                                  Sadness  0.840827   0.721831  0.676568  0.698467
2                             Anticipation  0.921763   0.729469  0.829670  0.776350
3                                    Trust  0.888489   0.618644  0.480263  0.540741
4                                  Neutral  0.900180   0.394495  0.488636  0.436548
5                                 Surprise  0.938849   0.315789  0.222222  0.260870
6                                  Disgust  0.946043   0.410714  0.460000  0.433962
7                                    Anger  0.944245   0.266667  0.740741  0.392157
8                                     Fear  0.968525   0.280000  0.291667  0.285714
9                                   Reject  0.985612   0.607143  0.772727  0.680000
Weighted Average          Weighted Average  0.912680   0.504676  0.562110  0.518442
Non-weighted Average  Non-weighted Average  0.912680   0.784456  0.787366  0.785900
