Emotion,Accuracy,Precision,Recall,F1
Joy,0.7517985611510791,0.6194029850746269,0.6693548387096774,0.6434108527131783
Trust,0.8660071942446043,0.5205479452054794,0.25,0.3377777777777778
Fear,0.9622302158273381,0.09090909090909091,0.08333333333333333,0.08695652173913043
Surprise,0.947841726618705,0.3,0.05555555555555555,0.09375
Sadness,0.7922661870503597,0.6565217391304348,0.49834983498349833,0.5666041275797373
Disgust,0.9316546762589928,0.27586206896551724,0.32,0.2962962962962963
Anger,0.9559352517985612,0.28,0.5185185185185185,0.36363636363636365
Anticipation,0.8830935251798561,0.6688311688311688,0.5659340659340659,0.6130952380952381
Neutral,0.8183453237410072,0.22857142857142856,0.5454545454545454,0.3221476510067114
Reject,0.9766187050359713,0.4,0.36363636363636365,0.38095238095238093
Weighted Average,0.8885791366906476,0.40406464266877473,0.3870137056125558,0.3704627209796814
Non-weighted Average,0.8885791366906475,0.724665863609026,0.7177207966578559,0.7211092546976763
