                                   Emotion  Accuracy  Precision    Recall        F1
0                                      Joy  0.751799   0.619403  0.669355  0.643411
1                                    Trust  0.866007   0.520548  0.250000  0.337778
2                                     Fear  0.962230   0.090909  0.083333  0.086957
3                                 Surprise  0.947842   0.300000  0.055556  0.093750
4                                  Sadness  0.792266   0.656522  0.498350  0.566604
5                                  Disgust  0.931655   0.275862  0.320000  0.296296
6                                    Anger  0.955935   0.280000  0.518519  0.363636
7                             Anticipation  0.883094   0.668831  0.565934  0.613095
8                                  Neutral  0.818345   0.228571  0.545455  0.322148
9                                   Reject  0.976619   0.400000  0.363636  0.380952
Weighted Average          Weighted Average  0.888579   0.404065  0.387014  0.370463
Non-weighted Average  Non-weighted Average  0.888579   0.724666  0.717721  0.721109
