Emotion,Accuracy,Precision,Recall,F1
Joy,0.7859712230215827,0.6947674418604651,0.6424731182795699,0.6675977653631285
Trust,0.8848920863309353,0.6111111111111112,0.4342105263157895,0.5076923076923077
Fear,0.9676258992805755,0.2692307692307692,0.2916666666666667,0.28
Surprise,0.9388489208633094,0.325,0.24074074074074073,0.2765957446808511
Sadness,0.829136690647482,0.6996466431095406,0.6534653465346535,0.6757679180887372
Disgust,0.9406474820143885,0.35714285714285715,0.4,0.37735849056603776
Anger,0.9415467625899281,0.2564102564102564,0.7407407407407407,0.38095238095238093
Anticipation,0.9073741007194245,0.6908212560386473,0.7857142857142857,0.7352185089974294
Neutral,0.9055755395683454,0.42201834862385323,0.5227272727272727,0.467005076142132
Reject,0.9820143884892086,0.5333333333333333,0.7272727272727273,0.6153846153846154
Weighted Average,0.908363309352518,0.4859482016860833,0.5439011424992447,0.49835728078676206
Non-weighted Average,0.908363309352518,0.7740518126378011,0.7753616845416271,0.7747044323834245
